epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,26.6065,1.14263,1.55183,1.49753,0.85276,0.41104,0.46064,0.19482,1.92936,3.32416,2.10908,0.000590997,0.000590997,0.000590997
43,27.2384,0.78351,1.45358,1.20369,0.84254,0.37016,0.41643,0.23439,1.692,3.16571,2.12756,0.000603101,0.000603101,0.000603101
44,27.8389,0.61385,1.46806,0.97439,0.84254,0.37016,0.41643,0.23439,1.692,3.16571,2.12756,0.000615095,0.000615095,0.000615095
45,28.5955,0.78908,2.31333,1.31245,0.87207,0.48829,0.41599,0.29224,1.6242,3.03253,1.91285,0.000626979,0.000626979,0.000626979
46,29.178,1.40904,1.36429,1.54807,0.87207,0.48829,0.41599,0.29224,1.6242,3.03253,1.91285,0.000638753,0.000638753,0.000638753
47,29.7635,0.93237,1.44103,1.23423,0.84883,0.5,0.41549,0.2962,1.71252,3.04886,1.86811,0.000650417,0.000650417,0.000650417
48,30.281,0.78166,1.06027,0.98006,0.84883,0.5,0.41549,0.2962,1.71252,3.04886,1.86811,0.000661971,0.000661971,0.000661971
49,30.8973,0.52332,1.20603,1.051,0.92652,0.5,0.4975,0.30443,1.72536,3.0407,1.96515,0.000673415,0.000673415,0.000673415
50,31.4513,0.82881,1.23395,1.14948,0.92652,0.5,0.4975,0.30443,1.72536,3.0407,1.96515,0.000684749,0.000684749,0.000684749
51,32.0464,0.79478,1.2335,1.22276,1,0.48566,0.4975,0.31641,1.7755,2.90995,2.16767,0.000695973,0.000695973,0.000695973
52,32.6703,0.78758,1.20758,1.04603,1,0.48566,0.4975,0.31641,1.7755,2.90995,2.16767,0.000707086,0.000707086,0.000707086
53,33.2114,0.76548,1.45896,1.20638,1,0.48566,0.4975,0.31641,1.7755,2.90995,2.16767,0.00071809,0.00071809,0.00071809
54,33.8678,1.39687,2.0464,1.82545,0.97125,0.5,0.4975,0.29557,1.81421,2.87554,2.36081,0.000728984,0.000728984,0.000728984
55,34.4095,1.41507,1.62543,1.68597,0.97125,0.5,0.4975,0.29557,1.81421,2.87554,2.36081,0.000739768,0.000739768,0.000739768
56,34.9625,1.49339,1.64426,1.70453,0.97125,0.5,0.4975,0.29557,1.81421,2.87554,2.36081,0.000750442,0.000750442,0.000750442
57,35.5979,0.93552,1.18672,1.07398,0.78789,0.5,0.415,0.25263,1.74819,3.08947,2.37443,0.000761006,0.000761006,0.000761006
