epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.36495,1.55633,3.14928,1.80906,0.00178,0.6,0.05518,0.0243,1.91587,3.33651,2.13687,0,0,0
2,2.95502,1.25731,3.75888,2.30583,0.00244,0.7,0.0552,0.0231,1.91474,3.33775,2.14391,1.11689e-05,1.11689e-05,1.11689e-05
3,3.37237,1.61595,3.38541,2.13394,0.00243,0.7,0.05696,0.0243,1.90364,3.33814,2.12832,1.13356e-05,1.13356e-05,1.13356e-05
