epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.33453,2.58507,4.15725,2.40265,0.00523,0.43213,0.01337,0.00314,2.25139,3.81085,2.68615,0,0,0
2,6.99836,2.22325,4.62615,2.41882,0.00527,0.44044,0.01355,0.00323,2.25295,3.8081,2.67853,1.6615e-05,1.6615e-05,1.6615e-05
3,9.63262,1.88785,4.83564,2.24446,0.00538,0.45429,0.0133,0.00319,2.25306,3.80677,2.67049,3.312e-05,3.312e-05,3.312e-05
4,12.4843,2.83061,4.14977,2.77644,0.00574,0.49861,0.01648,0.00405,2.22784,3.81608,2.65409,4.95149e-05,4.95149e-05,4.95149e-05
5,15.422,3.07295,5.08764,2.5614,0.00583,0.51247,0.01625,0.00405,2.2249,3.8139,2.64671,6.57998e-05,6.57998e-05,6.57998e-05
6,18.1529,2.30367,4.4158,2.1179,0.00679,0.60942,0.0177,0.00494,2.19852,3.81147,2.644,8.19747e-05,8.19747e-05,8.19747e-05
7,20.8232,2.44683,4.47481,2.34283,0.0075,0.69806,0.02726,0.00753,2.20786,3.80648,2.63698,9.80396e-05,9.80396e-05,9.80396e-05
8,23.7726,1.73255,3.88679,1.76133,0.0077,0.76177,0.02885,0.00856,2.21304,3.80174,2.61696,0.000113994,0.000113994,0.000113994
9,26.7403,2.32512,3.91317,2.17922,0.00794,0.8338,0.03668,0.01074,2.19453,3.76334,2.57994,0.000129839,0.000129839,0.000129839
10,29.5337,1.90646,4.40332,2.05073,0.00779,0.8338,0.04081,0.01152,2.19837,3.75696,2.57622,0.000145574,0.000145574,0.000145574
11,32.2985,2.0606,3.44114,1.70774,0.00784,0.89751,0.0548,0.01611,2.23684,3.72327,2.55987,0.000161199,0.000161199,0.000161199
12,35.1757,1.71431,3.47589,1.60762,0.0078,0.93629,0.05728,0.01295,2.34388,3.71871,2.60858,0.000176714,0.000176714,0.000176714
13,38.0062,2.22416,3.74241,1.74119,0.00736,0.9169,0.04754,0.01172,2.40641,3.69442,2.63454,0.000192118,0.000192118,0.000192118
14,40.791,1.32111,5.46929,1.34863,0.00711,0.90859,0.05076,0.01099,2.46698,3.66644,2.63776,0.000207413,0.000207413,0.000207413
15,43.5236,1.7343,3.55325,1.78145,0.00683,0.88643,0.09066,0.02017,2.50931,3.62102,2.62195,0.000222598,0.000222598,0.000222598
16,46.455,2.337,3.55134,1.8545,0.0067,0.88643,0.1941,0.0447,2.52316,3.56059,2.58365,0.000237673,0.000237673,0.000237673
17,49.3755,1.72511,2.91473,1.51786,0.00682,0.89751,0.29211,0.06463,2.49347,3.51284,2.54875,0.000252637,0.000252637,0.000252637
18,52.3344,0.85914,2.55633,1.11589,0.00682,0.89751,0.29211,0.06463,2.49347,3.51284,2.54875,0.000267492,0.000267492,0.000267492
19,55.3701,2.08846,4.57411,1.98635,0.00665,0.86981,0.35618,0.08478,2.41056,3.45477,2.47136,0.000282236,0.000282236,0.000282236
20,58.2864,1.37763,3.06463,1.35151,0.00665,0.86981,0.35618,0.08478,2.41056,3.45477,2.47136,0.000296871,0.000296871,0.000296871
21,61.2616,1.36513,3.46317,1.41108,0.00651,0.85319,0.43161,0.10967,2.32207,3.42807,2.4256,0.000311396,0.000311396,0.000311396
22,63.9144,1.07706,2.31881,1.17719,0.00651,0.85319,0.43161,0.10967,2.32207,3.42807,2.4256,0.00032581,0.00032581,0.00032581
23,66.6463,0.86131,2.37981,1.1239,0.00612,0.80886,0.43052,0.11161,2.27268,3.43375,2.39913,0.000340115,0.000340115,0.000340115
24,69.5492,1.43751,2.20313,1.35581,0.00612,0.80886,0.43052,0.11161,2.27268,3.43375,2.39913,0.000354309,0.000354309,0.000354309
25,72.6093,1.42224,2.17614,1.16568,0.00623,0.82548,0.47217,0.1259,2.28587,3.41174,2.37078,0.000368394,0.000368394,0.000368394
