epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,37.516,1.42834,2.67902,1.73399,1,0.33912,0.50817,0.34043,1.7859,2.84284,2.30713,0.000590997,0.000590997,0.000590997
43,38.3696,1.25065,2.00948,1.62655,1,0.34952,0.51039,0.40937,1.66805,2.78061,2.05919,0.000603101,0.000603101,0.000603101
44,39.5706,1.14854,1.98967,1.23643,1,0.34952,0.51039,0.40937,1.66805,2.78061,2.05919,0.000615095,0.000615095,0.000615095
45,40.7424,0.54797,1.86284,1.10997,0.8239,0.5,0.52624,0.35331,1.81437,2.67241,2.26895,0.000626979,0.000626979,0.000626979
46,41.7708,1.33008,2.22627,1.91655,0.8239,0.5,0.52624,0.35331,1.81437,2.67241,2.26895,0.000638753,0.000638753,0.000638753
47,42.691,0.9231,2.08471,1.45059,0.98352,0.5,0.51149,0.37615,1.89144,2.66912,2.36147,0.000650417,0.000650417,0.000650417
48,43.4751,0.77465,2.17045,0.95749,0.98352,0.5,0.51149,0.37615,1.89144,2.66912,2.36147,0.000661971,0.000661971,0.000661971
49,44.3299,0.82797,1.83827,1.10986,1,0.36643,0.50128,0.3256,1.76042,2.63291,2.13463,0.000673415,0.000673415,0.000673415
50,45.3259,1.14648,1.85897,1.3618,1,0.36643,0.50128,0.3256,1.76042,2.63291,2.13463,0.000684749,0.000684749,0.000684749
51,46.2298,0.98053,1.86763,1.36394,0.94893,0.25,0.39462,0.24813,1.90422,2.71041,2.12954,0.000695973,0.000695973,0.000695973
52,47.0973,1.10492,2.1836,1.19935,0.94893,0.25,0.39462,0.24813,1.90422,2.71041,2.12954,0.000707086,0.000707086,0.000707086
53,48.0038,1.26869,2.3102,1.35934,0.94893,0.25,0.39462,0.24813,1.90422,2.71041,2.12954,0.00071809,0.00071809,0.00071809
54,48.8727,1.55898,3.04095,1.88421,0.88888,0.25,0.39945,0.28363,1.77719,2.75619,1.97751,0.000728984,0.000728984,0.000728984
