epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.70191,2.58507,4.15725,2.40265,0.00523,0.43213,0.01337,0.00314,2.25139,3.81085,2.68615,0,0,0
2,7.91449,2.22325,4.62615,2.41882,0.00527,0.44044,0.01355,0.00323,2.25295,3.8081,2.67853,1.6615e-05,1.6615e-05,1.6615e-05
3,11.381,1.88785,4.83564,2.24446,0.00538,0.45429,0.0133,0.00319,2.25306,3.80677,2.67049,3.312e-05,3.312e-05,3.312e-05
4,14.5375,2.83061,4.14977,2.77644,0.00574,0.49861,0.01648,0.00405,2.22784,3.81608,2.65409,4.95149e-05,4.95149e-05,4.95149e-05
5,17.7091,3.07295,5.08764,2.5614,0.00583,0.51247,0.01625,0.00405,2.2249,3.8139,2.64671,6.57998e-05,6.57998e-05,6.57998e-05
6,20.728,2.30367,4.4158,2.1179,0.00679,0.60942,0.0177,0.00494,2.19852,3.81147,2.644,8.19747e-05,8.19747e-05,8.19747e-05
7,23.8934,2.44683,4.47481,2.34283,0.0075,0.69806,0.02726,0.00753,2.20786,3.80648,2.63698,9.80396e-05,9.80396e-05,9.80396e-05
8,27.0518,1.73255,3.88679,1.76133,0.0077,0.76177,0.02885,0.00856,2.21304,3.80174,2.61696,0.000113994,0.000113994,0.000113994
9,30.0779,2.32512,3.91317,2.17922,0.00794,0.8338,0.03668,0.01074,2.19453,3.76334,2.57994,0.000129839,0.000129839,0.000129839
10,33.1129,1.90646,4.40332,2.05073,0.00779,0.8338,0.04081,0.01152,2.19837,3.75696,2.57622,0.000145574,0.000145574,0.000145574
11,36.1838,2.0606,3.44114,1.70774,0.00784,0.89751,0.0548,0.01611,2.23684,3.72327,2.55987,0.000161199,0.000161199,0.000161199
12,39.3259,1.71431,3.47589,1.60762,0.0078,0.93629,0.05728,0.01295,2.34388,3.71871,2.60858,0.000176714,0.000176714,0.000176714
13,42.389,2.22416,3.74241,1.74119,0.00736,0.9169,0.04754,0.01172,2.40641,3.69442,2.63454,0.000192118,0.000192118,0.000192118
14,45.5939,1.32111,5.46929,1.34863,0.00711,0.90859,0.05076,0.01099,2.46698,3.66644,2.63776,0.000207413,0.000207413,0.000207413
